tutkintokerta;koulun_nro;koulun_nimi;opetuskieli;tyyppi;sukup;yht;A;O;Z;I;W;Q;A5;O5;M;N;BI;FF;FY;HI;PS;UE;UO;ET;GE;KE;TE;YH;BA;BB;CA;CB;EA;FA;SA;PA;VA;EC;FC;SC;PC;VC;DC;IC;QC;GC;TC;L1;L7;opintotausta
2020K;1488;Vieremän lukio;FI;;2;9;3;;;;;;;;3;;;;;;;;;;;;3;;;0;;;;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;1;16;4;;;;;;;;3;;;;;;;;;;4;;;;;;;;5;;;;;;;;;;;;;;;;;3
2020K;1488;Vieremän lukio;FI;;2;14;3;;;;;;;;3;;4;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;15;5;;;;;;;;;;;;;;;4;;;;;;;;4;;;2;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;22;6;;;;;;;;;;;;;;;5;;;;;;;;5;;;6;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;1;13;3;;;;;;;;;3;;;;;;;;;3;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;10;3;;;;;;;;;;;2;;;;;;;;;;;;2;;;3;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;18;6;;;;;;;;;;;;;;6;;;;;;;;;4;;;2;;;;;;;;;;;;;;;;;1
2020K;1488;Vieremän lukio;FI;;2;26;6;;;;;;;;6;;;;;;;;;;;;7;;;;;;;;;;;7;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;18;2;;;;;;;;;6;;;;;;;;;;;6;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;4;;;;;;;;5;;;;5;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;25;6;;;;;;;;;;;;;6;;;;;;;;;7;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;18;5;;;;;;;;3;;;;;5;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;18;4;;;;;;;;5;;;;;;;;;;;;;;;4;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;20;4;;;;;;;;;;;;;5;;;;;;;;;;5;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;22;5;;;;;;;;6;;;;;;;;;;;;;6;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;22;5;;;;;;;;;;;;;;;;;;6;;;;;6;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;14;2;;;;;;;;4;;;;4;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;6;;;;;;;;;3;;;;;;;;;;4;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;25;6;;;;;;;;;;;;;;;;;;;;;7;;6;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;14;3;;;;;;;;;4;;;;4;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;22;6;;;;;;;;;;;;;;5;;;;;;;;;5;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;17;5;;;;;;;;;2;;;;;4;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;19;;;;;;;5;;;4;;;;3;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;15;3;;;;;;;;3;;;;5;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;21;5;;;;;;;;4;;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;21;5;;;;;;;;;;;;;5;;;;;;;;;5;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;24;5;;;;;;;;5;;;;7;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;3;;;;;;;;4;;;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;27;6;;;;;;;;7;;;;;;;;;;;7;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;17;4;;;;;;;;4;;;;5;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;21;6;;;;;;;;5;;;;;;;;;;5;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;18;;;;;;;3;;;5;;;;;3;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;25;6;;;;;;;;6;;7;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;15;4;;;;;;;;;4;;;;;5;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;22;4;;;;;;;;6;;;;6;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;16;3;;;;;;;;;;;;;;4;;;;;;;;;5;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;21;4;;;;;;;;5;;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;24;6;;;;;;;;6;;6;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;19;3;;;;;;;;5;;;;5;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;;;;;;;5;;4;;;;5;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;25;5;;;;;;;;;;;;;6;;;;;;;;;;7;;;;;;;7;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;19;4;;;;;;;;4;;;;;6;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;17;3;;;;;;;;;5;;;;4;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;22;6;;;;;;;;5;;;;;;;;;;;5;;;;6;;;;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;16;;;;;;;4;;;3;;;;;2;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;18;3;;;;;;;;4;;;;;;;;;;;5;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;15;4;;;;;;;;2;;4;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;12;2;;;;;;;;3;;;;4;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;20;6;;;;;;;;4;;;;;;;;;;;4;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;4;;;;;;;;;5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;20;5;;;;;;;;;6;5;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;25;6;;;;;;;;;;;;;7;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;24;6;;;;;;;;;6;;;;;;;;;;;;;;5;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;24;6;;;;;;;;;;6;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;20;4;;;;;;;;;5;;;;6;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;20;5;;;;;;;;;;;;;;;;;;;4;;;;5;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;18;;;;;;;5;;5;;;;;;;;;;;3;;;;;;;;;;;;;;;;5;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;25;6;;;;;;;;7;;;;;;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;17;4;;;;;;;;;;;;;5;;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;15;4;;;;;;;;;3;;;;4;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;15;4;;;;;;;;3;;4;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;5;;;;;;;;;;;;;;;;;;;4;;;;6;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;24;6;;;;;;;;6;;7;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;5;;;;;;;;;;;;;6;;;;;;;;;;5;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;22;5;;;;;;;;;;;;;6;;;;;;;;;5;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;5;;;;;;;;;4;;;;;5;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;5;;;;;;;;;;;;;5;;;;;;;;;;5;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;18;4;;;;;;;;4;;4;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;15;3;;;;;;;;2;;;;4;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;25;6;;;;;;;;;7;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;;;;;;;5;;;;3;;;;;;;;;;;;;4;;;;;;;7;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;15;3;;;;;;;;;4;;;;5;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;20;3;;;;;;;;;;;;;4;;;;;;;;;7;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;4;;;;;;;;;;;;;;;;;;;;5;;;4;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;13;3;;;;;;;;3;;;;4;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;4;;;;;;;;5;;;;;;;;;;;5;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;16;3;;;;;;;;4;;;;;4;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;18;5;;;;;;;;;5;;;;;;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;26;6;;;;;;;;7;;;;;;;;;;;7;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;23;6;;;;;;;;5;;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;23;4;;;;;;;;6;;;;6;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;23;7;;;;;;;;3;;7;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;16;2;;;;;;;;;4;;;;;;;;;;;;;;4;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;13;2;;;;;;;;;4;;;;;;;;;;;;;;3;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;17;4;;;;;;;;;3;;;;;;;;;;;6;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;4;;;;;;;;4;;;;;;;;;;;;7;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;23;5;;;;;;;;5;;;;;;;;;;;;;6;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;22;6;;;;;;;;4;;;;;;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;6;;;;;;;;5;;5;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;17;;;;;;;5;;;2;;;;;;;;;;;;3;;;;;;;;;7;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;19;5;;;;;;;;4;;;;;;;;;;;;;;;6;;;;4;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;23;6;;;;;;;;6;;;;6;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;25;6;;;;;;;;;6;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;19;4;;;;;;;;;6;;;;;;;;;3;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;13;4;;;;;;;;;3;;;;;;;;;;;;;;4;;;2;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;23;5;;;;;;;;5;;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;20;5;;;;;;;;;;;;;5;;;;;;;;;;4;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;16;3;;;;;;;;4;;4;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;18;5;;;;;;;;5;;;;;;;;;;;4;;;;4;;;;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;5;;;;;;;;;;;;;;;;;6;;;;;;5;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;23;4;;;;;;;;7;;;;6;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;16;;;;;;;5;;4;;3;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;24;6;;;;;;;;;;6;;;;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;25;6;;;;;;;;6;;;;;;;;;;;;;;7;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;14;3;;;;;;;;;;;;;;;;;;;;6;;;3;;;2;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;28;7;;;;;;;;7;;;;7;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;20;4;;;;;;;;6;;;;6;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;16;3;;;;;;;;4;;;;4;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;22;5;;;;;;;;4;;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;14;4;;;;;;;;;;3;;;;;;;;;;;;;2;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;18;5;;;;;;;;4;;;;;;;;;;4;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;16;4;;;;;;;;3;;;;;;;;;;;;6;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;28;7;;;;;;;;7;;;;;;;;;;;;;;;7;;;7;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;14;3;;;;;;;;2;;;;3;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;19;3;;;;;;;;;;3;;;;;;;;;;;;7;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;15;3;;;;;;;;;;;;;;4;;;;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;20;;;;;;;6;;;4;;;;;;;;;;;4;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;;;;;;;7;;;;3;;;;;;;;;;;;4;;;;;;;;;;;;;7;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;17;3;;;;;;;;6;;;;5;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;16;3;;;;;;;;5;;;;4;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;5;;;;;;;;;6;5;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;17;5;;;;;;;;3;;;;;;4;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;17;4;;;;;;;;;4;;;;;4;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;25;;;;;;;7;;;6;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;19;5;;;;;;;;4;;;;4;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;16;3;;;;;;;;;3;;;;;;;;;;;7;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;4;;;;;;;;;6;;;;6;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;15;4;;;;;;;;;4;;;;;3;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;23;6;;;;;;;;;6;;;;5;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;16;3;;;;;;;;;5;;;;4;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;;;;;;;6;;4;;5;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;22;5;;;;;;;;5;;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;19;4;;;;;;;;;5;;;;5;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;20;4;;;;;;;;;6;;;;5;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;19;3;;;;;;;;4;;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;19;4;;;;;;;;;;;;;4;;;;;;;;;6;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;22;5;;;;;;;;;5;;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;23;4;;;;;;;;7;;;;7;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;17;5;;;;;;;;;;;;;;;;;4;;;;;;4;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;5;;;;;;;;6;;;;;;;;;;;;;;;4;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;24;;;;;;;6;;;;;;;5;;;;;;;;;;7;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;21;6;;;;;;;;4;;;;;;;;;;;5;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;23;7;;;;;;;;;5;;;;5;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;22;6;;;;;;;;;6;;;;;;;;;5;;;;5;;;;;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;20;5;;;;;;;;;4;;;;5;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;21;5;;;;;;;;;;;;;6;;;;;;;;;6;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;21;4;;;;;;;;4;;;;;7;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;24;5;;;;;;;;7;;;;6;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;16;3;;;;;;;;5;;;;5;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;24;6;;;;;;;;6;;;;;;;;;;;;;7;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;20;;;;;;;6;;;4;4;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;17;2;;;;;;;;;6;;;;4;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;2;22;6;;;;;;;;6;;6;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1
2020K;1093;Espoonlahden lukio;FI;;1;23;5;;;;;;;;6;;;;6;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;17;;2;;;;;;;;;;;;;;;;;;;;5;;;6;;4;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;24;;5;;;;;;;5;;;;;;;;;;;;;;;;7;;7;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;26;;7;;;;;;;6;;;;7;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;14;;2;;;;;;;;;;;;;3;;;;;;;;;;5;;4;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;20;;4;;;;;;;;;;;;;;;;;;;5;;;;6;;5;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;18;;4;;;;;;;;5;;;;;;;;;;;;;;;4;;5;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;19;;4;;;;;;;;4;;;;;;;;;;;;;;;6;;5;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;26;;6;;;;;;;;;;;;;;;;;;;;7;;;7;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;22;;5;;;;;;;;6;;;;;;;;;;;;;;;5;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;20;;4;;;;;;;;4;;;;;;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;23;;7;;;;;;;4;;;;;7;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;23;;5;;;;;;;6;;;;;;;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;27;;7;;;;;;;7;;7;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;17;;4;;;;;;;;;;;;;;;;;;;;5;;;4;;4;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;23;;6;;;;;;;;5;;;;;;;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;18;;2;;;;;;;;;;;;;4;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;19;;5;;;;;;;4;;;;;;;;;;;;;;;;6;;4;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;17;;2;;;;;;;;;;;;5;;;;;;;;;;;5;;5;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;27;;6;;;;;;;7;;;;7;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;23;;6;;;;;;;;5;;;;;;;;;6;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;24;;6;;;;;;;6;;;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;21;;4;;;;;;;;;;;;;;;;;;;;7;;;6;;4;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;19;;4;;;;;;;;;;;;6;;;;;;;;;;;5;;4;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;23;;6;;;;;;;;;;;;;;;;;7;;;;;;6;;4;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;28;;7;;;;;;;7;;;;7;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;17;;2;;;;;;;;;;;;;;;;;;;4;;;;6;;5;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;23;;5;;;;;;;;6;;;;;;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;2;20;;5;;;;;;;;;;;;;;;;;;;5;;;;6;;4;;;;;;;;;;;;;;;;;1
2020K;2033;Mattlidens gymnasium;SV;;1;17;;2;;;;;;;;5;;;;;;;;;4;;;;;;;;6;;;;;;;;;;;;;;;;;1
