koulun_nimi,sukup,A,alin_ka_17
vieremän lukio,2,3,6.83
vieremän lukio,1,4,6.83
vieremän lukio,2,3,6.83
vieremän lukio,2,5,6.83
vieremän lukio,2,6,6.83
vieremän lukio,1,3,6.83
vieremän lukio,2,3,6.83
vieremän lukio,2,6,6.83
vieremän lukio,2,6,6.83
espoonlahden lukio,1,2,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,2,2,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,2,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,7,8.67
espoonlahden lukio,1,2,8.67
espoonlahden lukio,1,2,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,1,7,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,7,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,2,3,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,4,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,7,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,2,5,8.67
espoonlahden lukio,1,4,8.67
espoonlahden lukio,1,5,8.67
espoonlahden lukio,1,3,8.67
espoonlahden lukio,1,6,8.67
espoonlahden lukio,1,2,8.67
espoonlahden lukio,2,6,8.67
espoonlahden lukio,1,5,8.67
sulkavan lukio,2,4,7.5
sulkavan lukio,2,6,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,2,6,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,1,4,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,2,6,7.5
sulkavan lukio,2,4,7.5
sulkavan lukio,2,6,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,1,3,7.5
sulkavan lukio,1,3,7.5
heinäveden lukio,1,5,7.42
heinäveden lukio,1,2,7.42
heinäveden lukio,1,2,7.42
heinäveden lukio,1,2,7.42
heinäveden lukio,2,6,7.42
heinäveden lukio,2,5,7.42
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,2,3,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,1,6,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,6,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,1,6,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,2,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,2,3,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,1,6,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,1,3,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,1,6,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,2,3,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,1,6,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,1,6,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,2,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,3,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,1,6,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,1,7,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,6,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,1,5,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,1,3,9
oulunkylän yhteiskoulu,2,5,9
oulunkylän yhteiskoulu,1,7,9
oulunkylän yhteiskoulu,1,4,9
oulunkylän yhteiskoulu,2,3,9
oulunkylän yhteiskoulu,1,7,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,4,9
oulunkylän yhteiskoulu,2,6,9
oulunkylän yhteiskoulu,2,7,9
oulunkylän yhteiskoulu,1,3,9
kankaanpään yhteislyseo,2,4,7.42
kankaanpään yhteislyseo,2,3,7.42
kankaanpään yhteislyseo,1,2,7.42
kankaanpään yhteislyseo,1,5,7.42
kankaanpään yhteislyseo,2,4,7.42
kankaanpään yhteislyseo,1,4,7.42
kankaanpään yhteislyseo,2,6,7.42
kankaanpään yhteislyseo,2,6,7.42
kankaanpään yhteislyseo,2,7,7.42
kankaanpään yhteislyseo,2,5,7.42
kankaanpään yhteislyseo,2,5,7.42
kankaanpään yhteislyseo,2,4,7.42
kankaanpään yhteislyseo,2,6,7.42
kankaanpään yhteislyseo,1,4,7.42
kankaanpään yhteislyseo,1,6,7.42
kankaanpään yhteislyseo,2,4,7.42
kankaanpään yhteislyseo,2,5,7.42
kankaanpään yhteislyseo,1,7,7.42
kankaanpään yhteislyseo,2,4,7.42
kankaanpään yhteislyseo,1,2,7.42
kankaanpään yhteislyseo,2,4,7.42
kankaanpään yhteislyseo,2,2,7.42
kankaanpään yhteislyseo,1,7,7.42
kankaanpään yhteislyseo,2,6,7.42
kankaanpään yhteislyseo,1,3,7.42
kankaanpään yhteislyseo,2,6,7.42
kankaanpään yhteislyseo,1,5,7.42
kankaanpään yhteislyseo,2,6,7.42
kankaanpään yhteislyseo,1,4,7.42
kankaanpään yhteislyseo,2,3,7.42
kankaanpään yhteislyseo,1,4,7.42
kankaanpään yhteislyseo,1,2,7.42
kankaanpään yhteislyseo,1,3,7.42
kankaanpään yhteislyseo,1,4,7.42
kankaanpään yhteislyseo,2,5,7.42
kankaanpään yhteislyseo,2,5,7.42
kankaanpään yhteislyseo,1,5,7.42
kankaanpään yhteislyseo,2,5,7.42
kankaanpään yhteislyseo,1,7,7.42
kankaanpään yhteislyseo,2,4,7.42
kankaanpään yhteislyseo,2,3,7.42
kankaanpään yhteislyseo,2,3,7.42
kankaanpään yhteislyseo,2,5,7.42
kankaanpään yhteislyseo,1,4,7.42
kankaanpään yhteislyseo,2,4,7.42
kankaanpään yhteislyseo,2,3,7.42
kankaanpään yhteislyseo,2,3,7.42
kankaanpään yhteislyseo,2,2,7.42
kankaanpään yhteislyseo,1,4,7.42
kankaanpään yhteislyseo,1,2,7.42
kankaanpään yhteislyseo,1,7,7.42
kankaanpään yhteislyseo,2,6,7.42
kankaanpään yhteislyseo,1,4,7.42
kankaanpään yhteislyseo,1,3,7.42
kankaanpään yhteislyseo,2,3,7.42
kankaanpään yhteislyseo,1,2,7.42
vuosaaren lukio,2,3,7
vuosaaren lukio,2,3,7
vuosaaren lukio,1,2,7
vuosaaren lukio,2,4,7
vuosaaren lukio,1,4,7
vuosaaren lukio,2,3,7
vuosaaren lukio,1,2,7
vuosaaren lukio,2,4,7
vuosaaren lukio,1,3,7
vuosaaren lukio,1,3,7
vuosaaren lukio,1,2,7
vuosaaren lukio,2,2,7
vuosaaren lukio,2,3,7
vuosaaren lukio,2,2,7
vuosaaren lukio,2,4,7
vuosaaren lukio,1,3,7
vuosaaren lukio,1,4,7
vuosaaren lukio,1,3,7
vuosaaren lukio,2,3,7
vuosaaren lukio,2,5,7
vuosaaren lukio,1,2,7
vuosaaren lukio,2,4,7
vuosaaren lukio,1,3,7
vuosaaren lukio,1,2,7
vuosaaren lukio,2,2,7
vuosaaren lukio,2,2,7
vuosaaren lukio,2,2,7
vuosaaren lukio,2,2,7
vuosaaren lukio,1,2,7
vuosaaren lukio,1,3,7
vuosaaren lukio,2,2,7
vuosaaren lukio,1,2,7
vuosaaren lukio,2,3,7
vuosaaren lukio,1,3,7
vuosaaren lukio,1,2,7
vuosaaren lukio,2,7,7
vuosaaren lukio,2,2,7
vuosaaren lukio,1,3,7
vuosaaren lukio,1,2,7
vuosaaren lukio,2,3,7
vuosaaren lukio,2,4,7
vuosaaren lukio,2,2,7
vuosaaren lukio,2,2,7
vuosaaren lukio,2,2,7
vuosaaren lukio,1,3,7
vuosaaren lukio,2,2,7
vuosaaren lukio,2,2,7
vuosaaren lukio,2,4,7
vuosaaren lukio,2,3,7
vuosaaren lukio,1,3,7
vuosaaren lukio,2,3,7
vuosaaren lukio,2,4,7
saarijärven lukio,2,5,7
saarijärven lukio,2,2,7
saarijärven lukio,1,3,7
saarijärven lukio,2,3,7
saarijärven lukio,2,6,7
saarijärven lukio,2,3,7
saarijärven lukio,2,5,7
saarijärven lukio,1,6,7
saarijärven lukio,1,5,7
saarijärven lukio,2,5,7
saarijärven lukio,2,4,7
saarijärven lukio,2,4,7
saarijärven lukio,2,3,7
saarijärven lukio,1,3,7
saarijärven lukio,2,4,7
saarijärven lukio,2,3,7
saarijärven lukio,2,2,7
saarijärven lukio,2,5,7
saarijärven lukio,2,4,7
saarijärven lukio,2,3,7
saarijärven lukio,2,3,7
saarijärven lukio,1,2,7
saarijärven lukio,2,4,7
saarijärven lukio,2,3,7
saarijärven lukio,2,6,7
saarijärven lukio,2,2,7
kyrönmaan lukio,1,4,7
kyrönmaan lukio,2,5,7
kyrönmaan lukio,2,2,7
kyrönmaan lukio,1,3,7
kyrönmaan lukio,2,4,7
kyrönmaan lukio,2,4,7
kyrönmaan lukio,2,6,7
kyrönmaan lukio,2,6,7
kyrönmaan lukio,1,2,7
kyrönmaan lukio,2,6,7
kyrönmaan lukio,1,3,7
kyrönmaan lukio,2,4,7
kyrönmaan lukio,2,4,7
kyrönmaan lukio,1,2,7
kyrönmaan lukio,2,4,7
kyrönmaan lukio,2,4,7
kyrönmaan lukio,2,6,7
kyrönmaan lukio,1,2,7
kyrönmaan lukio,1,3,7
kyrönmaan lukio,1,6,7
kyrönmaan lukio,2,7,7
kyrönmaan lukio,2,2,7
kyrönmaan lukio,2,4,7
kyrönmaan lukio,2,4,7
kyrönmaan lukio,2,5,7
kyrönmaan lukio,2,6,7
kyrönmaan lukio,1,2,7
kyrönmaan lukio,1,3,7
kyrönmaan lukio,2,5,7
kyrönmaan lukio,2,3,7
kyrönmaan lukio,1,3,7
kyrönmaan lukio,2,4,7
kyrönmaan lukio,2,5,7
janakkalan lukio,2,5,7
janakkalan lukio,2,3,7
janakkalan lukio,2,5,7
janakkalan lukio,1,6,7
janakkalan lukio,2,4,7
janakkalan lukio,1,2,7
janakkalan lukio,2,4,7
janakkalan lukio,2,3,7
janakkalan lukio,1,4,7
janakkalan lukio,1,3,7
janakkalan lukio,1,6,7
janakkalan lukio,1,4,7
janakkalan lukio,2,7,7
janakkalan lukio,1,0,7
janakkalan lukio,1,2,7
janakkalan lukio,1,4,7
janakkalan lukio,1,3,7
janakkalan lukio,2,4,7
janakkalan lukio,2,5,7
janakkalan lukio,2,4,7
janakkalan lukio,1,2,7
janakkalan lukio,2,2,7
janakkalan lukio,2,4,7
janakkalan lukio,2,4,7
janakkalan lukio,2,4,7
janakkalan lukio,2,4,7
janakkalan lukio,1,5,7
janakkalan lukio,1,3,7
janakkalan lukio,2,6,7
janakkalan lukio,1,4,7
janakkalan lukio,2,6,7
janakkalan lukio,1,5,7
janakkalan lukio,1,3,7
janakkalan lukio,1,4,7
janakkalan lukio,1,6,7
janakkalan lukio,2,5,7
janakkalan lukio,1,6,7
janakkalan lukio,1,3,7
janakkalan lukio,1,5,7
janakkalan lukio,1,5,7
janakkalan lukio,2,3,7
janakkalan lukio,1,4,7
janakkalan lukio,2,5,7
janakkalan lukio,2,5,7
janakkalan lukio,1,6,7
janakkalan lukio,2,5,7
janakkalan lukio,1,4,7
janakkalan lukio,1,4,7
janakkalan lukio,2,4,7
janakkalan lukio,2,6,7
janakkalan lukio,1,3,7
janakkalan lukio,2,5,7
janakkalan lukio,1,7,7
janakkalan lukio,2,6,7
janakkalan lukio,2,7,7
janakkalan lukio,2,5,7
janakkalan lukio,1,4,7
janakkalan lukio,2,6,7
janakkalan lukio,2,5,7
janakkalan lukio,1,5,7
janakkalan lukio,1,3,7
janakkalan lukio,2,3,7
janakkalan lukio,1,5,7
janakkalan lukio,2,5,7
janakkalan lukio,2,6,7
janakkalan lukio,1,3,7
janakkalan lukio,1,3,7
janakkalan lukio,2,4,7
janakkalan lukio,2,6,7
janakkalan lukio,2,7,7
janakkalan lukio,2,6,7
janakkalan lukio,2,5,7
janakkalan lukio,1,4,7
janakkalan lukio,1,6,7
janakkalan lukio,2,2,7
janakkalan lukio,1,3,7
janakkalan lukio,2,4,7
janakkalan lukio,2,6,7
janakkalan lukio,2,5,7
janakkalan lukio,1,6,7
janakkalan lukio,2,5,7
janakkalan lukio,2,2,7
janakkalan lukio,2,6,7
janakkalan lukio,2,5,7
haapaveden lukio,2,6,6
haapaveden lukio,2,3,6
haapaveden lukio,1,4,6
haapaveden lukio,1,2,6
haapaveden lukio,1,4,6
haapaveden lukio,2,6,6
haapaveden lukio,1,3,6
haapaveden lukio,1,6,6
haapaveden lukio,2,3,6
haapaveden lukio,2,3,6
haapaveden lukio,2,4,6
haapaveden lukio,2,6,6
haapaveden lukio,2,4,6
haapaveden lukio,2,4,6
haapaveden lukio,1,5,6
haapaveden lukio,2,5,6
haapaveden lukio,2,3,6
haapaveden lukio,1,5,6
haapaveden lukio,1,4,6
haapaveden lukio,2,6,6
haapaveden lukio,2,4,6
haapaveden lukio,1,3,6
haapaveden lukio,2,4,6
haapaveden lukio,2,6,6
haapaveden lukio,2,6,6
haapaveden lukio,2,4,6
haapaveden lukio,2,2,6
haapaveden lukio,2,6,6
haapaveden lukio,2,2,6
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,1,4,7.08
mäntyharjun lukio,2,5,7.08
mäntyharjun lukio,1,3,7.08
mäntyharjun lukio,2,5,7.08
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,1,3,7.08
mäntyharjun lukio,2,6,7.08
mäntyharjun lukio,1,4,7.08
mäntyharjun lukio,2,6,7.08
mäntyharjun lukio,2,6,7.08
mäntyharjun lukio,1,5,7.08
mäntyharjun lukio,2,3,7.08
mäntyharjun lukio,1,2,7.08
mäntyharjun lukio,1,5,7.08
mäntyharjun lukio,1,2,7.08
mäntyharjun lukio,2,3,7.08
mäntyharjun lukio,1,4,7.08
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,2,5,7.08
mäntyharjun lukio,2,6,7.08
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,1,2,7.08
mäntyharjun lukio,2,5,7.08
mäntyharjun lukio,2,6,7.08
mäntyharjun lukio,2,5,7.08
mäntyharjun lukio,1,5,7.08
mäntyharjun lukio,2,6,7.08
mäntyharjun lukio,2,5,7.08
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,1,5,7.08
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,2,5,7.08
mäntyharjun lukio,1,5,7.08
mäntyharjun lukio,2,6,7.08
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,2,2,7.08
mäntyharjun lukio,2,4,7.08
mäntyharjun lukio,2,5,7.08
mäntyharjun lukio,2,5,7.08
mäntyharjun lukio,1,6,7.08
mäntyharjun lukio,2,5,7.08
savonlinnan lyseon lukio,1,4,7.08
savonlinnan lyseon lukio,2,3,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,1,2,7.08
savonlinnan lyseon lukio,1,3,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,1,5,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,2,3,7.08
savonlinnan lyseon lukio,2,3,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,1,4,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,2,7,7.08
savonlinnan lyseon lukio,1,2,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,2,6,7.08
savonlinnan lyseon lukio,1,2,7.08
savonlinnan lyseon lukio,2,3,7.08
savonlinnan lyseon lukio,2,2,7.08
savonlinnan lyseon lukio,1,5,7.08
savonlinnan lyseon lukio,2,7,7.08
savonlinnan lyseon lukio,2,3,7.08
savonlinnan lyseon lukio,2,3,7.08
savonlinnan lyseon lukio,2,7,7.08
savonlinnan lyseon lukio,1,4,7.08
savonlinnan lyseon lukio,1,4,7.08
savonlinnan lyseon lukio,1,3,7.08
savonlinnan lyseon lukio,1,4,7.08
savonlinnan lyseon lukio,2,7,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,2,6,7.08
savonlinnan lyseon lukio,2,6,7.08
savonlinnan lyseon lukio,1,3,7.08
savonlinnan lyseon lukio,2,6,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,1,5,7.08
savonlinnan lyseon lukio,2,3,7.08
savonlinnan lyseon lukio,2,7,7.08
savonlinnan lyseon lukio,1,5,7.08
savonlinnan lyseon lukio,1,6,7.08
savonlinnan lyseon lukio,1,2,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,1,4,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,2,4,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,2,7,7.08
savonlinnan lyseon lukio,1,3,7.08
savonlinnan lyseon lukio,2,6,7.08
savonlinnan lyseon lukio,1,5,7.08
savonlinnan lyseon lukio,2,3,7.08
savonlinnan lyseon lukio,2,6,7.08
savonlinnan lyseon lukio,2,6,7.08
savonlinnan lyseon lukio,2,5,7.08
savonlinnan lyseon lukio,1,2,7.08
savonlinnan lyseon lukio,1,2,7.08
savonlinnan lyseon lukio,2,7,7.08
savonlinnan lyseon lukio,1,3,7.08
savonlinnan lyseon lukio,2,6,7.08
savonlinnan lyseon lukio,1,5,7.08
savonlinnan lyseon lukio,2,6,7.08
savonlinnan lyseon lukio,2,3,7.08
savonlinnan lyseon lukio,1,5,7.08
savonlinnan lyseon lukio,1,5,7.08
savonlinnan lyseon lukio,1,3,7.08
enontekiön erälukio,1,3,8
enontekiön erälukio,2,5,8
enontekiön erälukio,2,5,8
enontekiön erälukio,2,6,8
joensuun lyseon lukio,2,3,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,2,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,1,4,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,1,5,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,1,4,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,3,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,3,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,1,4,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,1,5,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,1,4,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,1,4,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,3,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,1,4,8.08
joensuun lyseon lukio,1,7,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,1,4,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,1,4,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,1,7,8.08
joensuun lyseon lukio,2,3,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,2,3,8.08
joensuun lyseon lukio,1,6,8.08
joensuun lyseon lukio,1,5,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,2,3,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,2,7,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,1,2,8.08
joensuun lyseon lukio,2,6,8.08
joensuun lyseon lukio,2,4,8.08
joensuun lyseon lukio,1,2,8.08
joensuun lyseon lukio,2,5,8.08
joensuun lyseon lukio,2,7,8.08
